wheel_index,slip_ratio,angular_velocity,linear_speed,current_brake_torque,current_drive_torque,desired_brake_torque,desired_drive_torque,speed_to_velocity_ratio,excess_drive_torque,slip_deviation
0,0.00225984,55.6698,16.6633,0,19.5445,0,19.8809,0.2993238650161512,-0.33640000000000114,-0.09774016
1,0.00225984,55.6698,16.6633,0,19.5445,0,19.8809,0.2993238650161512,-0.33640000000000114,-0.09774016
2,0.00225984,55.6698,16.6633,0,19.5445,0,19.8809,0.2993238650161512,-0.33640000000000114,-0.09774016
3,0.00225984,55.6698,16.6633,0,19.5445,0,19.8809,0.2993238650161512,-0.33640000000000114,-0.09774016
0,0.00229989,55.6793,16.6655,0,19.8808,0,20.2171,0.2993123063811452,-0.3362999999999978,-0.09770011
1,0.00229989,55.6793,16.6655,0,19.8808,0,20.2171,0.2993123063811452,-0.3362999999999978,-0.09770011
2,0.00229989,55.6793,16.6655,0,19.8808,0,20.2171,0.2993123063811452,-0.3362999999999978,-0.09770011
3,0.00229989,55.6793,16.6655,0,19.8808,0,20.2171,0.2993123063811452,-0.3362999999999978,-0.09770011
0,0.00233943,55.689,16.6677,0,20.217,0,20.5532,0.29929967678895875,-0.3362000000000016,-0.09766057
1,0.00233943,55.689,16.6677,0,20.217,0,20.5532,0.29929967678895875,-0.3362000000000016,-0.09766057
2,0.00233943,55.689,16.6677,0,20.217,0,20.5532,0.29929967678895875,-0.3362000000000016,-0.09766057
3,0.00233943,55.689,16.6677,0,20.217,0,20.5532,0.29929967678895875,-0.3362000000000016,-0.09766057
0,0.00237924,55.6988,16.67,0,20.5531,0,20.8892,0.29928830963524694,-0.3360999999999983,-0.09762076
1,0.00237924,55.6988,16.67,0,20.5531,0,20.8892,0.29928830963524694,-0.3360999999999983,-0.09762076
2,0.00237924,55.6988,16.67,0,20.5531,0,20.8892,0.29928830963524694,-0.3360999999999983,-0.09762076
3,0.00237924,55.6988,16.67,0,20.5531,0,20.8892,0.29928830963524694,-0.3360999999999983,-0.09762076
0,0.0024189,55.7087,16.6723,0,20.889,0,21.225,0.29927640926324955,-0.3360000000000021,-0.0975811
1,0.0024189,55.7087,16.6723,0,20.889,0,21.225,0.29927640926324955,-0.3360000000000021,-0.0975811
2,0.0024189,55.7087,16.6723,0,20.889,0,21.225,0.29927640926324955,-0.3360000000000021,-0.0975811
3,0.0024189,55.7087,16.6723,0,20.889,0,21.225,0.29927640926324955,-0.3360000000000021,-0.0975811
0,0.00245864,55.7187,16.6746,0,21.2249,0,21.5607,0.2992639760212644,-0.335799999999999,-0.09754136000000001
